Customer#	Interarrival Time (minutes)	Service Time (minutes)
1	3.22	3.30
2	3.74	2.59
3	2.43	2.91
4	2.40	2.81
5	3.85	3.65
6	1.78	4.02
7	5.54	0.96
8	4.25	1.97
9	5.49	3.68
10	3.30	3.97
11	4.71	3.84
12	5.86	1.94
13	6.19	2.61
14	4.41	3.91
15	3.06	3.23
16	3.54	2.50
17	3.50	3.78
18	4.50	4.20
19	4.09	2.69
20	5.80	2.94
21	3.16	1.28
22	3.97	3.42
23	3.32	5.23
24	4.10	2.82
25	2.11	3.28
26	4.67	2.59
27	3.75	2.21
28	3.97	3.08
29	4.19	2.34
30	4.94	3.36
31	4.13	3.10
32	4.88	2.88
33	4.50	1.72
34	4.57	4.17
35	0.78	3.18
36	3.04	3.50
37	3.22	3.01
38	3.01	1.32
39	4.58	2.94
40	5.74	4.45
41	3.75	4.43
42	3.52	2.34
43	5.65	2.22
44	4.81	2.53
45	5.78	2.03
46	5.10	3.74
47	5.65	2.36
48	3.48	1.64
49	4.48	5.37
50	4.71	2.70
51	3.35	3.63
52	3.72	4.89
53	4.85	0.86
54	5.60	3.57
55	3.42	1.52
56	3.59	3.22
57	4.75	2.13
58	3.80	1.61
59	4.53	2.79
60	4.48	4.15
61	5.95	2.30
62	5.31	2.94
63	4.79	4.33
64	4.15	3.57
65	4.67	1.64
66	4.18	0.95
67	4.67	4.34
68	4.03	3.38
69	3.14	3.86
70	2.32	3.72
71	5.44	2.70
72	4.69	2.97
73	1.55	3.15
74	4.09	2.18
75	3.65	2.75
76	3.82	2.03
77	4.48	2.66
78	2.86	3.03
79	3.82	2.70
80	4.85	2.03
81	5.51	3.18
82	3.62	1.38
83	3.43	4.77
84	4.29	2.51
85	4.89	3.23
86	4.91	3.34
87	5.25	3.18
88	5.13	2.55
89	2.67	5.51
90	5.38	5.26
91	4.21	3.57
92	4.09	2.91
93	3.58	3.81
94	4.42	3.29
95	4.20	1.48
96	5.35	3.52
97	3.85	2.88
98	3.63	2.79
99	4.35	2.31
100	4.23	3.04
101	5.50	4.49
102	2.82	4.12
103	4.47	3.04
104	2.67	3.17
105	2.87	2.81
106	4.54	1.83
107	4.13	4.55
108	3.16	2.44
109	4.24	3.12
110	4.86	3.24
111	5.21	3.09
112	3.58	3.23
113	6.42	2.85
114	3.95	3.69
115	4.33	2.15
116	4.84	2.44
117	3.94	2.05
118	4.01	3.43
119	3.12	2.05
120	3.53	2.78
121	4.06	3.61
122	2.94	1.53
123	5.92	3.16
124	4.06	3.75
125	5.20	3.85
126	3.61	3.35
127	4.27	2.58
128	3.82	3.51
129	6.41	1.78
130	2.89	3.20
131	3.49	2.01
132	3.65	2.05
133	3.47	3.56
134	4.80	2.74
135	5.00	2.83
136	5.74	3.55
137	2.35	1.98
138	3.09	4.31
139	3.85	2.68
140	4.08	1.83
141	3.08	3.81
142	4.23	2.61
143	4.81	2.96
144	4.03	2.56
145	3.97	2.09
146	2.62	2.77
147	3.43	1.90
148	4.04	2.68
149	4.64	4.76
150	4.77	4.55
151	4.73	2.88
152	4.35	3.16
153	4.12	2.08
154	4.02	2.70
155	4.94	2.91
156	3.48	2.23
157	4.71	3.06
158	3.34	4.06
159	3.29	2.23
160	2.56	2.78
161	4.87	3.17
162	5.62	1.87
163	5.05	3.32
164	5.40	1.71
165	3.33	2.18
166	3.31	1.18
167	4.83	3.79
168	4.80	4.14
169	5.99	2.52
170	4.18	3.28
171	3.95	2.56
172	1.92	5.01
173	2.70	5.42
174	5.45	2.41
175	4.95	3.40
176	5.46	1.54
177	4.11	4.63
178	4.87	2.06
179	3.80	0.70
180	5.27	2.45
181	5.09	3.00
182	3.66	1.48
183	4.27	3.93
184	4.12	1.41
185	3.85	3.29
186	4.36	2.85
187	4.81	3.38
188	4.58	2.29
189	3.76	1.96
190	3.24	1.56
191	4.88	3.15
192	3.35	4.67
193	3.39	2.47
194	5.02	4.75
195	4.85	3.44
196	4.64	2.59
197	1.66	2.50
198	4.57	1.68
199	3.57	2.03
200	2.39	3.48
201	4.44	4.53
202	3.08	2.91
203	3.94	3.17
204	4.02	3.16
205	3.14	3.51
206	3.77	2.45
207	4.08	2.85
208	3.88	4.14
209	2.73	3.31
210	5.40	1.88
211	3.25	1.94
212	3.95	2.67
213	5.54	3.34
214	3.64	3.62
215	5.94	0.44
216	3.62	3.86
217	3.52	2.61
218	2.70	3.78
219	4.31	3.55
220	4.74	4.75
221	3.65	2.34
222	4.38	4.03
223	4.33	1.19
224	4.81	3.43
225	5.41	2.16
226	5.36	2.29
227	2.23	2.75
228	4.34	2.59
229	3.28	2.99
230	2.39	3.93
231	3.94	2.84
232	2.82	3.28
233	2.74	3.72
234	4.40	4.30
235	3.39	3.64
236	3.01	3.78
237	3.51	1.69
238	5.37	3.49
239	3.16	1.45
240	2.13	3.02
241	3.29	2.67
242	5.85	3.07
243	3.98	2.43
244	3.07	2.85
245	4.05	3.68
246	4.75	2.83
247	5.12	2.32
248	2.31	3.51
249	3.82	4.01
250	6.11	2.47
251	3.31	2.72
252	3.48	4.55
253	3.82	2.64
254	4.76	3.31
255	2.81	2.99
256	4.90	1.60
257	3.56	3.41
258	4.11	3.78
259	3.84	2.64
260	3.53	4.50
261	3.31	2.24
